src,dst,weight
CM_ALCOHOL,CM_DRUG,9.81E-108
CM_ALCOHOL,CM_LIVER,3.80E-272
CM_ALCOHOL,DX_5722,5.59E-82
CM_ALCOHOL,DX_5771,3.75E-09
CM_ALCOHOL,DX_99682,1.22E-05
CM_ALCOHOL,U_MHSA,2.42E-162
CM_ANEMDEF,CM_BLDLOSS,5.12E-41
CM_ANEMDEF,DX_40391,4.07E-59
CM_ANEMDEF,PR_9904,3.80E-79
CM_ANEMDEF,U_BLOOD,0
CM_ARTH,NCHRONIC,6.60E-216
CM_BLDLOSS,PR_9904,1.40E-34
CM_BLDLOSS,U_BLOOD,0
CM_CHF,CM_PULMCIRC,0
CM_CHF,CM_VALVE,0
CM_CHF,DX_0088,6.10E-14
CM_CHF,DX_03842,1.00E-70
CM_CHF,DX_0389,0
CM_CHF,DX_2767,8.40E-32
CM_CHF,DX_34290,9.25E-20
CM_CHF,DX_40201,2.22E-21
CM_CHF,DX_40291,4.32E-129
CM_CHF,DX_4148,2.59E-170
CM_CHF,DX_4254,7.85E-147
CM_CHF,DX_4260,9.35E-108
CM_CHF,DX_42731,0
CM_CHF,DX_42781,1.42E-184
CM_CHF,DX_4280,0
CM_CHF,DX_42820,1.11E-43
CM_CHF,DX_42821,0
CM_CHF,DX_42831,1.85E-169
CM_CHF,DX_42832,3.20E-95
CM_CHF,DX_42833,0
CM_CHF,DX_42841,9.90E-57
CM_CHF,DX_43311,1.38E-12
CM_CHF,DX_43411,1.38E-57
CM_CHF,DX_4359,3.03E-51
CM_CHF,DX_4660,2.99E-23
CM_CHF,DX_486,0
CM_CHF,DX_5070,7.75E-200
CM_CHF,DX_51881,3.70E-103
CM_CHF,DX_55221,3.55E-10
CM_CHF,DX_56081,2.91E-28
CM_CHF,DX_57400,1.04E-38
CM_CHF,DX_71535,3.67E-24
CM_CHF,DX_7802,7.61E-153
CM_CHF,DX_78659,1.95E-245
CM_CHF,DX_99592,3.96E-25
CM_CHF,PR_3734,2.16E-91
CM_CHF,PR_3961,0
CM_CHF,PR_5122,3.63E-23
CM_CHF,PR_5459,1.54E-25
CM_CHF,U_BLOOD,0
CM_CHF,U_CATH,0
CM_CHF,U_CCU,1.89E-298
CM_CHF,U_CTSCAN,0
CM_CHF,U_ECHO,1.07E-233
CM_CHF,U_EKG,0
CM_CHF,U_ICU,1.46E-235
CM_CHF,U_PACEMAKER,0
CM_CHF,U_PHYTHERAPY,0
CM_CHF,U_STRESS,4.15E-86
CM_CHRNLUNG,CM_COAG,1.10E-62
CM_CHRNLUNG,CM_DRUG,7.98E-55
CM_CHRNLUNG,DX_4660,1.00E-28
CM_CHRNLUNG,DX_51881,3.17E-200
CM_CHRNLUNG,U_RESPTHERAPY,0
CM_COAG,CM_LIVER,6.54E-178
CM_COAG,CM_LYMPH,2.05E-20
CM_COAG,DX_5722,1.12E-57
CM_COAG,PR_9905,3.01E-133
CM_DEPRESS,CM_NEURO,1.00E-43
CM_DM,CM_DMCX,0
CM_DMCX,CM_RENLFAIL,0
CM_DMCX,DX_25043,9.12E-09
CM_DMCX,DX_25062,2.13E-43
CM_DMCX,DX_25063,1.56E-09
CM_DMCX,DX_25072,7.62E-15
CM_DMCX,PR_8415,4.45E-52
CM_DMCX,U_DIALYSIS,2.26E-226
CM_DRUG,DX_4210,6.05E-27
CM_HTN_C,CM_COAG,8.70E-73
CM_HTN_C,CM_LYMPH,5.30E-16
CM_HTN_C,CM_RENLFAIL,5.53E-276
CM_HTN_C,DX_4019,5.96E-73
CM_HTN_C,DX_40201,2.01E-26
CM_HTN_C,DX_40291,1.64E-153
CM_HTN_C,DX_40391,8.97E-130
CM_HTN_C,DX_5798,0.001131672
CM_HTN_C,DX_5856,3.02E-168
CM_LIVER,DX_5722,1.39E-73
CM_LIVER,PR_5491,2.93E-161
CM_LYMPH,DX_20283,6.17E-17
CM_LYTES,CM_ANEMDEF,9.25E-102
CM_LYTES,DX_0088,2.44E-19
CM_LYTES,DX_03842,9.83E-20
CM_LYTES,DX_0389,5.23E-76
CM_LYTES,DX_2766,2.08E-13
CM_LYTES,DX_2767,1.42E-63
CM_LYTES,DX_4148,8.96E-23
CM_LYTES,DX_4359,4.69E-23
CM_LYTES,NDX,0
CM_LYTES,U_ED,1.11E-218
CM_LYTES,U_ULTRASOUND,3.70E-203
CM_METS,U_RADTHERAPY,8.87E-82
CM_NEURO,CM_PARA,8.87E-73
CM_NEURO,CM_PSYCH,7.77E-57
CM_NEURO,DX_4359,1.51E-17
CM_NEURO,DX_5070,1.32E-81
CM_NEURO,U_EEG,1.90E-68
CM_OBESE,CM_DM,2.52321366217494e-314
CM_OBESE,CM_DMCX,5.54E-216
CM_OBESE,CM_LYMPH,1.94E-13
CM_OBESE,CM_PERIVASC,1.45E-220
CM_OBESE,DX_55221,4.13E-11
CM_OBESE,NCHRONIC,0
CM_PARA,DX_34290,4.50E-21
CM_PARA,DX_43401,1.27E-15
CM_PARA,DX_43411,2.25E-34
CM_PARA,PR_3974,1.22E-22
CM_PARA,U_SPEECHTHERAPY,1.33E-268
CM_PERIVASC,DX_25072,1.40E-11
CM_PERIVASC,DX_44024,4.88E-36
CM_PSYCH,CM_ULCER,0.001334565
CM_PSYCH,DX_2989,1.50E-09
CM_PULMCIRC,CM_VALVE,0
CM_RENLFAIL,CM_ALCOHOL,1.25E-123
CM_RENLFAIL,CM_ANEMDEF,0
CM_RENLFAIL,CM_CHF,8.42E-205
CM_RENLFAIL,CM_CHRNLUNG,3.19E-240
CM_RENLFAIL,CM_DEPRESS,1.18E-180
CM_RENLFAIL,CM_METS,1.90E-33
CM_RENLFAIL,CM_NEURO,8.60E-44
CM_RENLFAIL,DX_2766,3.68E-13
CM_RENLFAIL,DX_2767,1.09E-55
CM_RENLFAIL,DX_4019,4.50E-63
CM_RENLFAIL,DX_40291,1.65E-36
CM_RENLFAIL,DX_40391,3.33E-232
CM_RENLFAIL,DX_42833,5.33E-117
CM_RENLFAIL,DX_5856,0
CM_RENLFAIL,U_DIALYSIS,0
CM_RENLFAIL,U_NUCMED,8.83E-59
CM_TUMOR,U_RADTHERAPY,5.90E-70
CM_VALVE,DX_42821,2.70E-42
CM_WGHTLOSS,CM_HTN_C,5.16E-140
CM_WGHTLOSS,DX_56081,1.09E-09
CM_WGHTLOSS,PR_5459,8.37E-25
