src,dst,weight
DX_03842,DX_99592,2.34E-42
DX_0389,DX_03842,4.70E-20
DX_0389,DX_42822,5.06E-45
DX_0389,DX_42832,2.43E-62
DX_0389,DX_5119,3.30E-28
DX_0389,DX_99592,0
DX_0389,PR_3893,3.66E-280
DX_25013,DX_25063,3.91E-17
DX_25061,DX_5363,8.62E-18
DX_25063,DX_25043,2.11E-06
DX_25063,DX_5363,7.45E-09
DX_2989,DX_311,6.38E-06
DX_34290,DX_43401,7.67E-11
DX_34290,DX_43411,1.87E-65
DX_40391,U_DIALYSIS,0
DX_4254,DX_486,4.25E-69
DX_4260,PR_3783,9.96E-25
DX_4260,U_PACEMAKER,0
DX_42731,PR_3734,2.65E-80
DX_42781,U_PACEMAKER,0
DX_4280,CM_PULMCIRC,1.66E-116
DX_4280,CM_VALVE,1.84E-129
DX_4280,DX_0389,3.45E-83
DX_4280,DX_4254,4.43E-52
DX_4280,DX_42731,2.72E-67
DX_4280,DX_42820,2.36E-17
DX_4280,DX_42821,3.99E-48
DX_4280,DX_42822,7.98E-105
DX_4280,DX_42831,1.42E-41
DX_4280,DX_42832,2.73E-111
DX_4280,DX_5070,4.57E-56
DX_4280,U_CCU,6.57E-167
DX_42831,DX_42821,5.95E-44
DX_42832,DX_42822,3.45E-43
DX_42833,DX_42820,2.57E-36
DX_42833,DX_42821,4.86E-109
DX_42833,DX_42822,6.57E-81
DX_42833,DX_42831,3.35E-95
DX_42833,DX_42832,5.85E-74
DX_42833,DX_42841,3.82E-20
DX_43311,PR_3812,9.34E-43
DX_43411,DX_43311,8.61E-09
DX_43411,U_MRT,2.13E-177
DX_43411,U_SPEECHTHERAPY,1.21E-264
DX_4359,U_MRT,8.49E-82
DX_44024,PR_8415,1.79E-42
DX_4660,DX_49392,2.14E-10
DX_486,CM_CHRNLUNG,3.26E-283
DX_486,DX_34290,2.82E-13
DX_486,DX_5070,8.53E-134
DX_486,DX_57400,1.50E-10
DX_486,DX_99592,1.54E-39
DX_486,U_RESPTHERAPY,0
DX_5070,U_SPEECHTHERAPY,0
DX_5119,PR_3491,0
DX_51881,DX_42822,1.15E-60
DX_51881,DX_42832,1.02E-55
DX_51881,DX_V4611,5.14E-54
DX_51881,ORPROC,3.33E-257
DX_51881,PR_9604,3.38E-195
DX_51881,PR_9671,0
DX_51881,U_ICU,0
DX_51881,U_RESPTHERAPY,0
DX_56081,PR_5451,3.77E-20
DX_56081,PR_5459,2.52E-169
DX_57400,PR_5122,1.12E-67
DX_57400,PR_5123,2.87E-135
DX_5856,CM_ANEMDEF,1.24E-219
DX_5856,DX_2766,1.25E-24
DX_5856,DX_2767,7.15E-79
DX_5856,DX_40391,2.65E-285
DX_5856,DX_51881,5.01E-81
DX_5856,NPR,0
DX_5856,U_DIALYSIS,0
DX_71535,PR_8151,2.53015406918152e-312
DX_78659,U_NUCMED,5.05E-155
DX_78659,U_STRESS,2.18E-58
DX_V5811,DX_20283,5.61E-10
DX_V5811,PR_9925,1.83E-41
DX_V5811,U_RADTHERAPY,0
