src,dst,weight
PR_0051,PR_0050,1.49E-24
PR_0051,PR_3794,1.24E-131
PR_0051,PR_8863,5.31E-45
PR_0066,ORPROC,0
PR_0066,PR_0045,0
PR_0066,PR_3722,9.03E-40
PR_0066,PR_3734,4.55E-31
PR_0066,PR_3961,7.78E-264
PR_1742,PR_6563,3.03E-76
PR_3491,U_ULTRASOUND,0
PR_3607,PR_0066,0
PR_3722,U_ED,7.12E-194
PR_3726,PR_3727,1.96E-55
PR_3734,PR_3726,0
PR_3734,PR_3727,3.50E-183
PR_3783,PR_0051,3.19E-24
PR_3783,PR_3772,0
PR_3783,PR_3794,1.20E-46
PR_3794,PR_0050,2.15E-23
PR_3812,PR_8841,1.42E-36
PR_3893,ORPROC,4.31E-307
PR_3893,PR_3897,1.38E-74
PR_3893,U_OTHIMPLANTS,0
PR_3893,U_ULTRASOUND,0
PR_3961,PR_3727,5.11E-13
PR_3961,PR_3766,6.86E-74
PR_3961,PR_3783,1.35E-35
PR_3961,PR_4223,1.04E-56
PR_3961,PR_9905,3.15E-97
PR_3995,ORPROC,2.86E-225
PR_3995,Readmit,7.54E-115
PR_4311,PR_311,1.75E-127
PR_5122,PR_8753,1.48E-119
PR_5123,PR_5122,2.21E-34
PR_5123,PR_5451,7.91E-23
PR_5123,PR_8753,0
PR_5451,PR_1742,3.31E-14
PR_5459,PR_4562,8.75E-61
PR_5491,PR_8876,5.81E-53
PR_5498,PR_3995,2.09E-187
PR_598,U_LITHOTRIPSY,1.13E-18
PR_7817,PR_7966,2.27E-07
PR_8841,PR_3974,2.49E-44
PR_8853,PR_3722,4.24E-150
PR_8872,PR_3961,1.81E-93
PR_8872,PR_4223,7.84E-66
PR_8872,PR_8877,6.66E-11
PR_8872,PR_9205,5.20E-23
PR_8902,PR_8903,1.39E-167
PR_8944,PR_9205,0
PR_9604,PR_9671,0
PR_9604,PR_9672,0
PR_9604,PR_9960,2.11E-90
PR_966,PR_4311,2.86E-168
PR_9671,PR_966,3.44E-146
PR_9672,PR_311,1.46E-288
PR_9672,PR_3129,5.82E-36
PR_9672,PR_966,4.30E-239
PR_9672,PR_9671,0
PR_9672,U_EEG,1.48E-60
PR_9904,Readmit,1.09E-44
PR_9904,U_CATH,1.25E-265
PR_9905,U_RADTHERAPY,1.44E-44
PR_9925,Readmit,7.73E-32
